page,broken_url,status,reason,suggested_replacement,notes
alaska.html,https://guides.loc.gov/alaska-purchase,404,Not Found,https://guides.loc.gov/alaska-treaty/introduction,Push
american-samoa.html,https://www.amsamoa.edu/institution/ssi.html,404,Not Found,https://www.amsamoa.edu/Departments_Offices/Divisions/ssi.html,Push
arkansas.html,https://digitalheritage.arkansas.gov/,N/A,Connection failed,https://ar-digital.contentdm.oclc.org/,Push
arkansas.html,https://digitalheritage.arkansas.gov/brough-scrapbooks/,N/A,Connection failed,https://ar-digital.contentdm.oclc.org/digital/collection/manuscripts/id/269/rec/3,Move to Elaine Race Massacre section
arkansas.html,https://digitalheritage.arkansas.gov/exhibits-online-arkansas-territory/index.html,N/A,Connection failed,https://ar-digital.contentdm.oclc.org/digital/search/searchterm/territorial%20and%20early%20arkansas%20records!territory/field/relati!all/mode/exact!all/conn/and!all,Push
arkansas.html,https://digitalheritage.arkansas.gov/maps-collection/,N/A,Connection failed,https://ar-digital.contentdm.oclc.org/digital/collection/maps,Push
arkansas.html,https://digitalheritage.arkansas.gov/territory-general-assembly/,N/A,Connection failed,https://ar-digital.contentdm.oclc.org/digital/search/searchterm/arkansas%20territory%20general%20assembly%20records%20(ms.000959)!territorial%20and%20early%20arkansas%20records!territory/field/relati!relati!all/mode/exact!exact!all/conn/and!and!all,Push
arkansas.html,https://www.nps.gov/articles/the-battle-of-prairie-grove-civilian-recollections-of-the-civil-war-teaching-with-primary-sources.htm,404,Not Found,https://www.nps.gov/articles/the-battle-of-prairie-grove-civilian-recollections-of-the-civil-war-teaching-with-historic-places.htm,Push
asian-american.html,https://library.berkeley.edu/ea/,N/A,Timeout,https://www.lib.berkeley.edu/libraries/east-asian-library,Push
california.html,https://libguides.calstatela.edu/c.php?g=1066577&p=5504356,404,Not Found,https://libguides.calstatela.edu/c.php?g=767223&p=5504356#s-lg-box-17923543,Push
california.html,https://minerva.sos.ca.gov/,N/A,Connection failed,https://www.sos.ca.gov/archives/,Push
colorado.html,https://amache.org/,N/A,Client error,https://www.nps.gov/amch/index.htm,No change needed
connecticut.html,https://libguides.ctstatelibrary.org/historyday/industry,404,Not Found,,Delete
connecticut.html,https://library.ccsu.edu/dighistFall16/exhibits/show/connecticut-manufacturing-duri,404,Not Found,,Delete
connecticut.html,https://oll.libertyfund.org/pages/1639-fundamental-orders-of-connecticut,404,Not Found,https://avalon.law.yale.edu/17th_century/order.asp,Push
delaware.html,https://archives.delaware.gov/ratification-document/,404,Not Found,https://archives.delaware.gov/,Delete
economic-history.html,https://ustr.gov/about-us/policy-offices/press-office/ustr-archives,404,Not Found,https://ustr.gov/about-us/policy-offices/press-office/-ustr-archives,Push
entertainment-sports.html,https://chautauqua.cplorg.org/,N/A,Connection failed,,Delete
entertainment-sports.html,https://collection.baseballhall.org/,N/A,Timeout,https://baseballhall.org/discover/digital-collection,Delete
entertainment-sports.html,https://library.louisville.edu/archives/ali,404,Not Found,https://library.louisville.edu/ali/home,Push
entertainment-sports.html,https://rfrn.org/archive,404,Not Found,,Delete
entertainment-sports.html,https://vaudevillearchiveproject.org/,N/A,Connection failed,https://vaudeville.library.arizona.edu/,"Push, now ""American Vaudeville Museum Archive"""
entertainment-sports.html,https://www.circushistory.org/public/research.php,404,Not Found,,Delete
entertainment-sports.html,https://www.loc.gov/collections/american-variety-stage-vaudeville-and-popular-entertainment-1870-to-1920/,404,Standard 40x,https://www.loc.gov/collections/variety-stage-sound-recordings-and-motion-pictures/articles-and-essays/about-variety-stage-motion-pictures/,Push
entertainment-sports.html,https://www.loc.gov/collections/early-motion-pictures-1897-to-1920/,404,Standard 40x,https://www.loc.gov/collections/edison-company-motion-pictures-and-sound-recordings/about-this-collection/,"Push, now ""Edison Company Motion Pictures"""
entertainment-sports.html,https://www.loc.gov/collections/historic-american-sheet-music/,404,Standard 40x,https://www.loc.gov/collections/historic-sheet-music/about-this-collection/,"Push: now ""Historic Sheet Music Collection 1800 to 1922"""
entertainment-sports.html,https://www.loc.gov/collections/world-fairs-at-the-library-of-congress/,404,Standard 40x,,Delete
federal.html,https://digital.library.okstate.edu/kappler/,N/A,Connection failed,https://dc.library.okstate.edu/digital/collection/kapplers,Push
federal.html,https://www.archives.gov/research/cartographic-and-architectural-records,404,Not Found,https://www.archives.gov/research/cartographic,Push
federal.html,https://www.loc.gov/collections/born-in-slavery-slave-narratives-from-the-federal-writers-project-1936-to-1938/,404,Standard 40x,https://www.loc.gov/collections/slave-narratives-from-the-federal-writers-project-1936-to-1938/,Push
federal.html,https://www.loc.gov/collections/maps/,404,Standard 40x,https://www.loc.gov/maps/collections/,Push
federal.html,https://www.loc.gov/collections/selected-civil-war-photographs/,404,Standard 40x,https://www.loc.gov/pictures/collection/cwp/,Push
florida.html,http://staugustine.uflib.ufl.edu/,N/A,Connection failed,https://ufdc.ufl.edu/collections/hsa1,Push
florida.html,https://merrick.library.miami.edu/digitalprojects/chc.php,N/A,Timeout,https://www.library.miami.edu/chc/,Push
foodways.html,https://archive.org/details/culinary-institute-of-america-702,404,Not Found,https://culinaryartsmuseum.pastperfectonline.com/Archive,Push
foodways.html,https://folklife.si.edu/archive,404,Not Found,https://guides.loc.gov/foodways-folklife,Push
foodways.html,https://whatamericaate.org/,N/A,Connection failed,,Delete
foodways.html,https://www.archives.gov/research/military/ww2/ration-books,404,Not Found,https://www.archives.gov/education/lessons/ration-books,Delete
foodways.html,https://www.lib.umich.edu/collections/collecting-areas/special-collections-research-center/janice-bluestein-longone-culinary,404,Not Found,https://www.lib.umich.edu/collections/collecting-areas/special-collections/janice-bluestein-longone-culinary-archive,Push
foodways.html,https://www.nal.usda.gov/collections/exhibits/george-washington-carver,N/A,Client error,https://www.nal.usda.gov/exhibits/speccoll/exhibits/show/manuscript-collections/george-washington-carver,Push
foodways.html,https://www.nal.usda.gov/collections/exhibits/three-sisters,N/A,Client error,https://www.nal.usda.gov/collections/stories/three-sisters,Push
gender-sexuality.html,https://exhibits.lib.buffalo.edu/s/gayliberation/page/welcome,N/A,Connection failed,https://digital.lib.buffalo.edu/items/browse?collection=14,Push
gender-sexuality.html,https://transcollectionsproject.org/,N/A,Connection failed,,Delete
gender-sexuality.html,https://www.aidsmemorial.org/interactive-quilt,404,Not Found,https://www.aidsmemorial.org/quilt,Push
gender-sexuality.html,https://www.glbthistory.org/screaming-queens,404,Not Found,https://calisphere.org/collections/28070/,Push
gender-sexuality.html,https://www.loc.gov/collections/aids-education-posters/,404,Standard 40x,,Delete
gender-sexuality.html,https://www.loc.gov/collections/independent-voices/,404,Standard 40x,https://www.jstor.org/site/reveal-digital/independent-voices/?so=item_title_str_asc&searchkey=1771693324377,"Now hosted at JSTOR, not Library of Congress"
