page,url,status,reason
alabama.html,https://alabamamosaic.org/,N/A,Connection failed
alaska.html,https://guides.loc.gov/alaska-purchase,404,Not Found
american-samoa.html,https://www.amsamoa.edu/institution/ssi.html,404,Not Found
arkansas.html,https://digitalheritage.arkansas.gov/,N/A,Connection failed
arkansas.html,https://digitalheritage.arkansas.gov/brough-scrapbooks/,N/A,Connection failed
arkansas.html,https://digitalheritage.arkansas.gov/exhibits-online-arkansas-territory/index.html,N/A,Connection failed
arkansas.html,https://digitalheritage.arkansas.gov/maps-collection/,N/A,Connection failed
arkansas.html,https://digitalheritage.arkansas.gov/territory-general-assembly/,N/A,Connection failed
arkansas.html,https://www.nps.gov/articles/the-battle-of-prairie-grove-civilian-recollections-of-the-civil-war-teaching-with-primary-sources.htm,404,Not Found
asian-american.html,https://library.berkeley.edu/ea/,N/A,Timeout
california.html,https://libguides.calstatela.edu/c.php?g=1066577&p=5504356,404,Not Found
california.html,https://minerva.sos.ca.gov/,N/A,Connection failed
colorado.html,https://amache.org/,N/A,"Client error: 400, message='Can not decode content-encoding: brotli (br). Please install `Brotli`', url='https://amache.org/'"
connecticut.html,https://libguides.ctstatelibrary.org/historyday/industry,404,Not Found
connecticut.html,https://library.ccsu.edu/dighistFall16/exhibits/show/connecticut-manufacturing-duri,404,Not Found
connecticut.html,https://oll.libertyfund.org/pages/1639-fundamental-orders-of-connecticut,404,Not Found
delaware.html,https://archives.delaware.gov/ratification-document/,404,Not Found
economic-history.html,https://ustr.gov/about-us/policy-offices/press-office/ustr-archives,404,Not Found
entertainment-sports.html,https://chautauqua.cplorg.org/,N/A,Connection failed
entertainment-sports.html,https://collection.baseballhall.org/,N/A,Timeout
entertainment-sports.html,https://library.louisville.edu/archives/ali,404,Not Found
entertainment-sports.html,https://rfrn.org/archive,404,Not Found
entertainment-sports.html,https://vaudevillearchiveproject.org/,N/A,Connection failed
entertainment-sports.html,https://www.circushistory.org/public/research.php,404,Not Found
entertainment-sports.html,https://www.loc.gov/collections/american-variety-stage-vaudeville-and-popular-entertainment-1870-to-1920/,404,Standard 40x
entertainment-sports.html,https://www.loc.gov/collections/early-motion-pictures-1897-to-1920/,404,Standard 40x
entertainment-sports.html,https://www.loc.gov/collections/historic-american-sheet-music/,404,Standard 40x
entertainment-sports.html,https://www.loc.gov/collections/world-fairs-at-the-library-of-congress/,404,Standard 40x
federal.html,https://digital.library.okstate.edu/kappler/,N/A,Connection failed
federal.html,https://www.archives.gov/research/cartographic-and-architectural-records,404,Not Found
federal.html,https://www.loc.gov/collections/born-in-slavery-slave-narratives-from-the-federal-writers-project-1936-to-1938/,404,Standard 40x
federal.html,https://www.loc.gov/collections/maps/,404,Standard 40x
federal.html,https://www.loc.gov/collections/selected-civil-war-photographs/,404,Standard 40x
florida.html,http://staugustine.uflib.ufl.edu/,N/A,Connection failed
florida.html,https://merrick.library.miami.edu/digitalprojects/chc.php,N/A,Timeout
foodways.html,https://archive.org/details/culinary-institute-of-america-702,404,Not Found
foodways.html,https://folklife.si.edu/archive,404,Not Found
foodways.html,https://whatamericaate.org/,N/A,Connection failed
foodways.html,https://www.archives.gov/research/military/ww2/ration-books,404,Not Found
foodways.html,https://www.lib.umich.edu/collections/collecting-areas/special-collections-research-center/janice-bluestein-longone-culinary,404,Not Found
foodways.html,https://www.nal.usda.gov/collections/exhibits/george-washington-carver,N/A,"Client error: 400, message='Got more than 8190 bytes (10436) when reading Header value is too long.', url='https://www.nal.usda.gov/collections/exhibits/george-washington-carver'"
foodways.html,https://www.nal.usda.gov/collections/exhibits/three-sisters,N/A,"Client error: 400, message='Got more than 8190 bytes (10436) when reading Header value is too long.', url='https://www.nal.usda.gov/collections/exhibits/three-sisters'"
gender-sexuality.html,https://exhibits.lib.buffalo.edu/s/gayliberation/page/welcome,N/A,Connection failed
gender-sexuality.html,https://transcollectionsproject.org/,N/A,Connection failed
gender-sexuality.html,https://www.aidsmemorial.org/interactive-quilt,404,Not Found
gender-sexuality.html,https://www.glbthistory.org/screaming-queens,404,Not Found
gender-sexuality.html,https://www.loc.gov/collections/aids-education-posters/,404,Standard 40x
gender-sexuality.html,https://www.loc.gov/collections/independent-voices/,404,Standard 40x
gender-sexuality.html,https://www.nps.gov/ston/learn/historyculture/index.htm,404,Not Found
gender-sexuality.html,https://www.supremecourt.gov/opinions/14pdf/14-556_3204.pdf,404,Not Found
georgia.html,https://www.archives.gov/milestone-documents/indian-removal-act,404,Not Found
great-plains.html,https://www.kshs.org/p/cattle-trails-of-kansas/11643,404,Not Found
hawaii.html,http://punawaiola.org/,N/A,Connection failed
hawaii.html,https://digitalarchives.hawaii.gov/,404,Not Found
idaho.html,https://digitalatlas.cose.isu.edu/geog/agirrig/agigmain.htm,N/A,Timeout
idaho.html,https://librarycollections.law.umn.edu/documents/darrow/trialpdfs/Haywood_Trial.pdf,404,Not Found
illinois.html,https://www.ilsos.gov/departments/archives.html,N/A,Timeout
illinois.html,https://www.ilsos.gov/departments/archives/databases.html,N/A,Timeout
illinois.html,https://www.ilsos.gov/departments/archives/databases/blkhawk.html,N/A,Timeout
illinois.html,https://www.ilsos.gov/departments/archives/online-exhibits/100-documents/1919-coroner-race-riot.html,N/A,Timeout
immigration.html,https://www.nypl.org/research/collections/schomburg,404,Not Found
iowa.html,https://history.iowa.gov/history/education/educator-resources/primary-source-sets,404,Not Found
kentucky.html,https://ekufindingaids.libraryhost.com/index.php?p=collections%2Fcollections&browse=,N/A,Connection failed
kentucky.html,https://passtheword.khs.gov/,N/A,Connection failed
labor.html,https://guides.loc.gov/labor-history,404,Not Found
labor.html,https://rfrankllc.libraryhost.com/repositories/2,N/A,Connection failed
labor.html,https://rfrankllc.libraryhost.com/repositories/3,N/A,Connection failed
labor.html,https://www.aphsarchives.org/digital-collections,N/A,Connection failed
louisiana.html,https://archives.arch-no.org/sfpc,N/A,Connection failed
maine.html,https://www.maine.gov/sos/archives/archives-collections,404,Not Found
maryland.html,https://oll.libertyfund.org/pages/1649-maryland-toleration-act,404,Not Found
michigan.html,https://www.thehenryford.org/collections-and-research/digital-collections/archival-collections/,404,Not Found
mid-atlantic.html,https://www.castlegarden.org/,N/A,Timeout
